1,ID,Platform,Category,Cookie / Data Key name,Domain,Description,Retention period,Data Controller,User Privacy & GDPR Rights Portals,Wildcard match
114,256cb1d6-d881-11e9-8a34-2a2ae2dbcce4,Bing / Microsoft,Functional,MSPProf,microsoft.com (3rd party),Helps to authenticate you when you sign in with your Microsoft account.,5 years,Microsoft,https://account.microsoft.com/privacy,0
115,256cb30c-d881-11e9-8a34-2a2ae2dbcce4,Bing / Microsoft,Functional,MC0,microsoft.com (3rd party),Detects whether cookies are enabled in the browser.,End of session (browser),Microsoft,https://account.microsoft.com/privacy,0
116,256cb438-d881-11e9-8a34-2a2ae2dbcce4,Bing / Microsoft,Functional,MS0,microsoft.com (3rd party),Identifies a specific session.,End of session (browser),Microsoft,https://account.microsoft.com/privacy,0
117,256cb816-d881-11e9-8a34-2a2ae2dbcce4,Bing / Microsoft,Marketing,NAP,microsoft.com (3rd party),"Contains an encrypted version of your country, postal code, age, gender, language and occupation, if known, based on your Microsoft account profile.",1 year,Microsoft,https://account.microsoft.com/privacy,0
118,256cb97e-d881-11e9-8a34-2a2ae2dbcce4,Bing / Microsoft,Marketing,MH,microsoft.com (3rd party),"Appears on co-branded sites where Microsoft is partnering with an advertiser. This cookie identifies the advertiser, so the right ad is selected.",End of session (browser),Microsoft,https://account.microsoft.com/privacy,0
119,256cbabe-d881-11e9-8a34-2a2ae2dbcce4,Bing / Microsoft,Marketing,childinfo,microsoft.com (3rd party),Contains information that Microsoft account uses within its pages in relation to child accounts.,5 years,Microsoft,https://account.microsoft.com/privacy,0
120,256cbbf4-d881-11e9-8a34-2a2ae2dbcce4,Bing / Microsoft,Marketing,kcdob,microsoft.com (3rd party),Contains information that Microsoft account uses within its pages in relation to child accounts.,5 years,Microsoft,https://account.microsoft.com/privacy,0
121,256cbd2a-d881-11e9-8a34-2a2ae2dbcce4,Bing / Microsoft,Marketing,kcrelid,microsoft.com (3rd party),Contains information that Microsoft account uses within its pages in relation to child accounts.,5 years,Microsoft,https://account.microsoft.com/privacy,0
122,256cbe56-d881-11e9-8a34-2a2ae2dbcce4,Bing / Microsoft,Marketing,kcru,microsoft.com (3rd party),Contains information that Microsoft account uses within its pages in relation to child accounts.,5 years,Microsoft,https://account.microsoft.com/privacy,0
123,256cc270-d881-11e9-8a34-2a2ae2dbcce4,Bing / Microsoft,Marketing,pcfm,microsoft.com (3rd party),Contains information that Microsoft account uses within its pages in relation to child accounts.,5 years,Microsoft,https://account.microsoft.com/privacy,0
124,256cc3f6-d881-11e9-8a34-2a2ae2dbcce4,Bing / Microsoft,Functional,x-ms-gateway-slice,microsoft.com (3rd party),Identifies a gateway for load balancing.,End of session (browser),Microsoft,https://account.microsoft.com/privacy,0
125,256cc540-d881-11e9-8a34-2a2ae2dbcce4,Bing / Microsoft,Marketing,ToptOut,.bing.com (3rd party) or .microsoft.com (3rd party),Records your decision not to receive interest-based advertising delivered by Microsoft.,1 year,Microsoft,https://account.microsoft.com/privacy,0
126,256cc676-d881-11e9-8a34-2a2ae2dbcce4,Bing / Microsoft,Marketing,ACH01,.bing.com (3rd party) or .microsoft.com (3rd party),Maintains information about which ad and where the user clicked on the ad.,End of session (browser),Microsoft,https://account.microsoft.com/privacy,0
127,86987c90-d49d-4f18-92c6-cb7219941de6,Bing / Microsoft,Functional,AADSSO,microsoft.com (3rd party),Microsoft Microsoft Online Authentication Cookie,End of session (browser),Microsoft,https://account.microsoft.com/privacy,0
128,55cd7242-c471-4f79-beae-239c8527249d,Bing / Microsoft,Functional,brcap,microsoft.com (3rd party),Microsoft Microsoft Online Authentication Cookie,1 year,Microsoft,https://account.microsoft.com/privacy,0
129,3b3839c7-29e4-488f-ac31-966017009ccd,Bing / Microsoft,Functional,SRM_B,microsoft.com (3rd party)," Collected user data is specifically adapted to the user or device. The usercan also be followed outside of the loaded website, creating a picture of the visitor's behavior.",1 year,Microsoft,https://account.microsoft.com/privacy,0
130,d828ed06-e5b8-4a18-92d2-6b66b6440e3e,Azure / Microsoft,Functional,buid,microsoft.com (3rd party),This cookie is used by Microsoft to securely verify your login information,1 month,Microsoft,https://account.microsoft.com/privacy,0
131,e2740aa9-302f-48f4-8da4-adc87a648d84,Azure / Microsoft,Functional,esctx,microsoft.com (3rd party),This cookie is used by Microsoft to securely verify your login information,session,Microsoft,https://account.microsoft.com/privacy,0
132,d9a536e7-ec2f-45a1-bc57-44116eea5eba,Azure / Microsoft,Functional,fpc,microsoft.com (3rd party),This cookie is used by Microsoft to securely verify your login information,session,Microsoft,https://account.microsoft.com/privacy,0
133,5ba88877-4115-44b0-86f5-858d5becb80f,Azure / Microsoft,Functional,stsservicecookie,microsoft.com (3rd party),Cookie for Azure Active Directory B2C-verification,session,Microsoft,https://account.microsoft.com/privacy,0
134,0a8ed6cf-bb76-4870-a055-c728bba2a375,Azure / Microsoft,Functional,ARRAffinity,Advertiser's website domain (1st party),"When using Microsoft Azure as a hosting platform and enabling load balancing, this cookie ensures that  requests from one visitor's browsing session are always handled by the same server in the cluster.",1 year,Microsoft,https://account.microsoft.com/privacy,0
135,d26e571a-4f43-11eb-ae93-0242ac130002,Azure / Microsoft,Functional,ARRAffinitySameSite,Advertiser's website domain (1st party),"When using Microsoft Azure as a hosting platform and enabling load balancing, this cookie ensures that  requests from one visitor's browsing session are always handled by the same server in the cluster.",1 year,Microsoft,https://account.microsoft.com/privacy,0
136,4cd8f567-80a5-4338-80d4-4f803b198f8d,Azure / Microsoft,Functional,__AntiXsrfToken,Advertiser's website domain (1st party),This cookie is used to prevent Cross-site request forgery (often abbreviated as CSRF) attacks of the website. CSRF attacks exploit the trust that a site has in a user's browser.,session,Microsoft,https://account.microsoft.com/privacy,0
137,27c3efb8-ae3c-411c-a323-487b49109a64,Azure / Microsoft,Functional,.ASPXANONYMOUS,Advertiser's website domain (1st party),Created by ASP.Net. This cookie configures anonymous identification for application authorization. This is required to identify entities that are not authenticated when authorization is required.,session,Microsoft,https://account.microsoft.com/privacy,0
138,ab2c6849-022d-46e0-84f0-12617c09d8de,Azure / Microsoft,Functional,.ASPXAUTH,Advertiser's website domain (1st party),Created by ASP.Net. .ASPXAUTH is a cookie to identify if the user is authenticated( As user's identity has been verified),session,Microsoft,https://account.microsoft.com/privacy,0
139,9d87ca66-a460-4b51-8a78-3fa9277f1913,Azure / Microsoft,Functional,nSGt-,microsoft.com (3rd party),This cookie is used by Microsoft to securely verify your Sharepoint login information,session,Microsoft,https://account.microsoft.com/privacy,1
140,a5ddb0d6-438d-46d9-bcea-ab4057e50ed5,Azure / Microsoft,Functional,RpsContextCookie,microsoft.com (3rd party),This cookie is used by Microsoft to securely verify your Sharepoint login information,session,Microsoft,https://account.microsoft.com/privacy,0
141,33dd473d-db07-49aa-99b5-592f360a35ba,Azure / Microsoft,Functional,ASLBSACORS,Advertiser's website domain (1st party),Microsoft App Service and Front Door Affinity Cookies. These cookies are used to direct your browser to use the appropriate backend server.,Session,Microsoft,https://account.microsoft.com/privacy,0
142,2cd84dc9-cd06-4d89-a006-14b911e538e5,Azure / Microsoft,Functional,ASLBSA,Advertiser's website domain (1st party),Microsoft App Service and Front Door Affinity Cookies. These cookies are used to direct your browser to use the appropriate backend server.,Session,Microsoft,https://account.microsoft.com/privacy,0
143,b4cdb430-343f-4e20-acbd-4a59783552d5,Azure / Microsoft,Functional,ASPSESSIONID,Advertiser's website domain (1st party),Browsing session: the asterisks identify an alphanumerical code that varies from session to session in automatic mode.,Session,Microsoft,https://account.microsoft.com/privacy,1
144,c049562e-e15a-44e8-81c4-baf64fe9ca8f,Azure / Microsoft,Functional,ApplicationGatewayAffinity,Advertiser's website domain (1st party),This cookie is used by Azure Apps to keep a user session on the same server.,Session,Microsoft,https://account.microsoft.com/privacy,0
145,46ef85a0-166d-47f6-9769-2ab599e2cf90,Azure / Microsoft,Functional,ApplicationGatewayAffinityCORS,Advertiser's website domain (1st party),This cookie is used by Azure Apps to keep a user session on the same server.,Session,Microsoft,https://account.microsoft.com/privacy,0
146,5af4a198-5e16-42df-9a53-cc1adcc6194c,Azure / Microsoft,Functional,VisitorStorageGuid,Advertiser's website domain (1st party),This cookie is used by Azure Apps to keep a user session on the same server.,Session,Microsoft,https://account.microsoft.com/privacy,0
147,0128daf8-544e-4ab1-8117-b50984228f9f,Microsoft Azure App Insights,Functional,ai_session,Advertiser's website domain (1st party),This is a unique anonymous session identifier cookie.,Session,Microsoft,https://account.microsoft.com/privacy,0
148,9ad53afc-814f-4ca7-968a-3d82ac166c77,Microsoft Azure App Insights,Functional,ai_user,Advertiser's website domain (1st party),This is a unique user identifier cookie enabling counting of the number of users accessing the application over time.,1 year,Microsoft,https://account.microsoft.com/privacy,0
149,ac37dcdc-9f72-49e9-8b92-1682565bee79,Microsoft Dynamics,Functional,AADNonce.forms,forms.office.comm,Unique identifier of one authentication session to prevent replay.,session,Microsoft,https://account.microsoft.com/privacy,0
150,15d0764e-e305-4f65-987e-cec21ca7209d,Microsoft Dynamics,Functional,DcLcid,forms.office.comm,Saves language preference.,90 days,Microsoft,https://account.microsoft.com/privacy,0
151,6b0fcf2e-09e7-4b4d-acb5-d39e946ae32c,Microsoft,Analytics,_clck,clarity.ms," This cookie is installed by Microsoft Clarity to store information of how visitors use a website and help in creating an analytics report of how the website is doing. The data collected including the number visitors, the source where they have come from, and the pages visited in an anonymous form.",1 year,Microsoft,https://account.microsoft.com/privacy,0
152,a8e8abce-2d0b-49f9-93ed-9cf17ef7b234,Microsoft,Analytics,_clsk,clarity.ms,"This cookie is installed by Microsoft Clarity to store information of how visitors use a website and help in creating an analytics report of how the website is doing. The data collected including the number visitors, the source where they have come from, and the pages visited in an anonymous form.",session,Microsoft,https://account.microsoft.com/privacy,0
153,256cc7a2-d881-11e9-8a34-2a2ae2dbcce4,Twitter,Marketing,guest_id,twitter.com (3rd party),This cookie is set by Twitter to identify and track the website visitor. Registers if a users is signed in the Twitter platform and collects information about ad preferences. ,2 years,Twitter,https://help.twitter.com/nl/safety-and-security#ads-and-data-privacy,0
154,256cc8d8-d881-11e9-8a34-2a2ae2dbcce4,Twitter,Marketing,personalization_id,twitter.com (3rd party),"Unique value with which users can be identified by Twitter. Collected information is used to be personalize Twitter services, including Twitter trends, stories, ads and suggestions.",2 years,Twitter,https://help.twitter.com/nl/safety-and-security#ads-and-data-privacy,0
155,e4c4bc7f-a0ef-45f5-aa79-4a048cb5353e,Twitter,Marketing,ct0,twitter.com (3rd party),"These cookies enable us to track visitor activity from our Twitter ads on our website, and also to allow users to share content from our websites. They cookies do not provide us with any confidential information relating to your account.",2 years,Twitter,https://twitter.com/en/privacy,0
156,d26e6386-4f43-11eb-ae93-0242ac130002,Twitter,Marketing,gt,twitter.com (3rd party),"Twitter uses these cookies to support plugin integration with our website. If you use the Tweet plugin and log into your Twitter account, Twitter will set some of these cookies to remember that you are logged in. Twitter will also use cookies for their own analytics purposes.",1 year,Twitter,https://twitter.com/en/privacy,0
157,256cca18-d881-11e9-8a34-2a2ae2dbcce4,MOAT,Analytics,N/A,moatads.com (3rd party),Javascript tag used to measure and monitor ad visibilty/viewability and brand safety standards.,N/A,Oracle,https://www.oracle.com/legal/privacy/services-privacy-policy.html,0
158,256ccd6a-d881-11e9-8a34-2a2ae2dbcce4,DMA Institute,Analytics,N/A,dmai.com (3rd party),Javascript tag used to measure and monitor ad visibilty/viewability and brand safety standards.,N/A,DMA Institute,https://www.dma-institute.com/gdpr/,0
159,256cceb4-d881-11e9-8a34-2a2ae2dbcce4,Meetrics,Analytics,N/A,meetrics.net (3rd party),Javascript tag used to measure and monitor ad visibilty/viewability and brand safety standards.,N/A,Meetrics,https://www.meetrics.com/en/data-privacy/,0
160,256ccfea-d881-11e9-8a34-2a2ae2dbcce4,Inspectlet,Analytics,__insp_pad,Inspectlet.com (3rd party),This cookie contains the page number of the session recording.,End of session (browser),Inspectlet,https://docs.inspectlet.com/hc/en-us,0
161,256cd12a-d881-11e9-8a34-2a2ae2dbcce4,Inspectlet,Analytics,__insp_sid,Inspectlet.com (3rd party),This cookie contains the ID of the Inspectlet session that is being recorded.,End of session (browser),Inspectlet,https://docs.inspectlet.com/hc/en-us,0
162,256cd3e6-d881-11e9-8a34-2a2ae2dbcce4,Inspectlet,Analytics,__insp_ref,Inspectlet.com (3rd party),The cookie contains the referrer source/URL,End of session (browser),Inspectlet,https://docs.inspectlet.com/hc/en-us,0
163,256cd53a-d881-11e9-8a34-2a2ae2dbcce4,Inspectlet,Analytics,__insp_scpt,Inspectlet.com (3rd party),This cookie contains an integer that allows us to know if the screen capture was triggered or not.,End of session (browser),Inspectlet,https://docs.inspectlet.com/hc/en-us,0
164,256cd922-d881-11e9-8a34-2a2ae2dbcce4,Inspectlet,Analytics,__insp_nv,Inspectlet.com (3rd party),This cookie contains a value that allows Inspectlet to know if this user is a new visitor or a returning visitor.,End of session (browser),Inspectlet,https://docs.inspectlet.com/hc/en-us,0
165,256cda62-d881-11e9-8a34-2a2ae2dbcce4,Inspectlet,Analytics,__insp_wid,Inspectlet.com (3rd party),This cookie contains an uniqe user ID provided by the website if set up.,End of session (browser),Inspectlet,https://docs.inspectlet.com/hc/en-us,0
166,256cdba2-d881-11e9-8a34-2a2ae2dbcce4,Inspectlet,Analytics,__insp_uid,Inspectlet.com (3rd party),This cookie contains random ID assigned to a visitor.,1 year,Inspectlet,https://docs.inspectlet.com/hc/en-us,0
167,67415e3d-9f91-4c1a-97dd-548930e7b93a,Inspectlet,Analytics,__insp_dct,Inspectlet.com (3rd party),Registers statistical data on visitors' behaviour on the website. Used for internal analytics by the website operator.,Session,Inspectlet,https://docs.inspectlet.com/hc/en-us,0
168,256cdcd8-d881-11e9-8a34-2a2ae2dbcce4,Indeed,Analytics,CTK,conv.indeed.com (3rd party),Contains information related to registering (counting) a job application via a job listing on indeed.com.,17 years,Indeed,https://www.indeed.nl/legal,0
169,256cde18-d881-11e9-8a34-2a2ae2dbcce4,Indeed,Analytics,ctkgen,conv.indeed.com (3rd party),Contains information related to registering (counting) a job application via a job listing on indeed.com.,1 day,Indeed,https://www.indeed.nl/legal,0
170,256cdf44-d881-11e9-8a34-2a2ae2dbcce4,Indeed,Analytics,INDEED_CSRF_TOKEN,conv.indeed.com (3rd party),Contains information related to registering (counting) a job application via a job listing on indeed.com.,End of session (browser),Indeed,https://www.indeed.nl/legal,0
171,256ce30e-d881-11e9-8a34-2a2ae2dbcce4,Indeed,Analytics,jasx_pool_id,conv.indeed.com (3rd party),Contains information related to registering (counting) a job application via a job listing on indeed.com.,End of session (browser),Indeed,https://www.indeed.nl/legal,0
172,256ce46c-d881-11e9-8a34-2a2ae2dbcce4,Indeed,Analytics,pagead/conv/%INTEGER%,conv.indeed.com (3rd party),Contains information related to registering (counting) a job application via a job listing on indeed.com.,End of session (browser),Indeed,https://www.indeed.nl/legal,0
173,06dcc491-d34b-456f-ae56-f683284f5dbd,Abovo Media,Analytics,tv_spot_tracker,Advertiser's website domain (1st party),Contains information about the timeslot of a running TV ad,End of session (browser),Abovo Media,https://www.abovomedia.nl/cookies/,0
174,cf563c2f-115b-43c1-82cd-93030ef4fe6c,CookieConsent.io,Functional,cookie-consent-io,Advertiser's website domain (1st party),Registers cookie preferences of a user,1 year,CookieConsent.io,https://www.cookieconsent.io/cookies/,0
175,7ca640be-cf2f-41fe-9290-58813a1f28aa,CookieConsent.io,Functional,cookie-consent-io-timestamp,Advertiser's website domain (1st party),Registers user activity timestamp,30 days,CookieConsent.io,https://www.cookieconsent.io/cookies/,1
176,c2b375c6-534f-4237-8cd1-b2a0d88936be,CookieConsent.io,Functional,cookie-consent-io-gdpr,Advertiser's website domain (1st party),Register anonymous consent identifier for GDPR consent compliance,1 year,CookieConsent.io,https://www.cookieconsent.io/cookies/,0
177,4c1be785-76a1-4272-b890-155b3c2e130c,Youtube,Marketing,GPS,youtube.com (3rd party),Registers a unique ID on mobile devices to enable tracking based on geographical GPS location.,1 day,Google,https://privacy.google.com/take-control.html,0
178,87613af8-8486-47ef-93c9-b45c9c285106,Youtube,Marketing,VISITOR_INFO1_LIVE,youtube.com (3rd party),Tries to estimate the users' bandwidth on pages with integrated YouTube videos.,179 days,Google,https://privacy.google.com/take-control.html,0
179,9c0c0aeb-8893-43e5-9943-7dbad447400b,Youtube,Functional,PREF,youtube.com (3rd party),"This cookie stores your preferences and other information, in particular preferred language, how many search results you wish to be shown on your page, and whether or not you wish to have Google’s SafeSearch filter turned on.",10 years from set/ update,Google,https://privacy.google.com/take-control.html,0
180,d0a28cbf-c082-477b-99fe-b45d0ef7e440,Youtube,Functional,YSC,youtube.com (3rd party),Registers a unique ID to keep statistics of what videos from YouTube the user has seen.,Session,Google,https://privacy.google.com/take-control.html,0
181,a578ee93-0514-4c0c-a51a-32177058f5f5,Admatic,Marketing,__adm_ui,admatic.com.tr (3rd party),"Used to track visitors on multiple websites, in order to present relevant advertisement based on the visitor's preferences.",1 year,Admatic,http://www.admatic.com.tr/en/privacy-policy.html,0
182,b9b6969a-e377-4930-bbf2-cc392ed0bbe0,Admatic,Marketing,__adm_uiex,admatic.com.tr (3rd party),"Used to track visitors on multiple websites, in order to present relevant advertisement based on the visitor's preferences.",1 year,Admatic,http://www.admatic.com.tr/en/privacy-policy.html,0
183,964f057a-34ae-4352-831a-b413901c1511,Admatic,Marketing,__adm_usyncc,admatic.com.tr (3rd party),"Used to identify the visitor across visits and devices. This allows the website to present the visitor with relevant advertisement - The service is provided by third party advertisement hubs, which facilitate real-time bidding for advertisers.",5 days,Admatic,http://www.admatic.com.tr/en/privacy-policy.html,0
184,0083f4a3-159a-4ed8-80d0-0d26ec97b778,Cloudflare,Functional,__cfduid,Advertiser's website domain (1st party),"The '__cfduid' cookie is set by the CloudFlare service to identify trusted web traffic. It does not correspond to any user id in the web application, nor does the cookie store any personally identifiable",5 years,Cloudflare,https://www.cloudflare.com/privacypolicy/,0
185,1170a387-6b75-45ed-9d7b-f4e536fb96a0,Cloudflare,Functional,__cfruid,Advertiser's website domain (1st party),"Used by the content network, Cloudflare, to identify trusted web traffic.",session,Cloudflare,https://www.cloudflare.com/privacypolicy/,0
186,36b7ca9d-ebcd-4d0e-b81e-27d44303f834,Cloudflare,Functional,__cf_bm,Advertiser's website domain (1st party),Cloudflare's bot products identify and mitigate automated traffic to protect your site from bad bots. Cloudflare places the __cf_bm cookie on End User devices that access Customer sites that are protected by Bot Management or Bot Fight Mode. The __cf_bm cookie is necessary for the proper functioning of these bot solutions.,session,Cloudflare,https://www.cloudflare.com/privacypolicy/,0
187,717b8c97-4205-4c1e-960b-0e6c1267b268,Sonobi,Marketing,__uin_bw,.go.sonobi.com (3rd party),"Collects information on visitor behaviour on multiple websites. This information is used on the website, in order to optimize the relevance of advertisement.",1 month,Sonobi,https://sonobi.com/privacy-policy/,0
188,befebc70-9497-4f2c-be86-b76ef2a2d3f4,Sonobi,Marketing,__uir_bw,.go.sonobi.com (3rd party),Collects data on visitors' behaviour and interaction - This is used to optimize the website and make advertisement on the website more relevant.,1 day,Sonobi,https://sonobi.com/privacy-policy/,0
189,b1ece5c5-f6b1-4109-8437-da5e522f1c2d,Sonobi,Marketing,__uis,.go.sonobi.com (3rd party),"Used to track visitors on multiple websites, in order to present relevant advertisement based on the visitor's preferences.",29 days,Sonobi,https://sonobi.com/privacy-policy/,0
190,26db9f36-98f5-49fc-bc18-82561fbdaa10,Sonobi,Marketing,HAPLB5S,.go.sonobi.com (3rd party),"Used to track visitors on multiple websites, in order to present relevant advertisement based on the visitor's preferences.",29 days,Sonobi,https://sonobi.com/privacy-policy/,0
191,4da9f26a-7deb-4dfb-9294-1d50cfac1fdc,Pulsepoint,Marketing,_dbefe,contextweb.com (3rd party),Collects information on user preferences and/or interaction with web-campaign content - This is used on CRM-campaign-platform used by website owners for promoting events or products.,Session,Pulsepoint,http://pulsepoints-new-website.webflow.io/privacy-policy/platform#consumer-choice,0
192,5b248efa-5559-4cc7-8124-4f63dd14be68,Hotjar,Analytics,_hjid,Advertiser's website domain (1st party),"Hotjar cookie. This cookie is set when the customer first lands on a page with the Hotjar script. It is used to persist the random user ID, unique to that site on the browser. This ensures that behavior in subsequent visits to the same site will be attributed to the same user ID.",365 days,Hotjar,https://www.hotjar.com/legal/compliance/opt-out,0
193,24f2ca01-28b6-44b5-8522-45bb4e4b1ebb,Hotjar,Analytics,_hjIncludedInSample,Advertiser's website domain (1st party),Hotjar cookie. This session cookie is set to let Hotjar know whether that visitor is included in the sample which is used to generate funnels.,365 days,Hotjar,https://www.hotjar.com/legal/compliance/opt-out,0
194,b905f5e4-95ec-4ee3-abef-519b4c29c969,Hotjar,Analytics,_hjClosedSurveyInvites,Advertiser's website domain (1st party),Hotjar cookie. This cookie is set once a visitor interacts with a Survey invitation modal popup. It is used to ensure that the same invite does not re-appear if it has already been shown.,365 days,Hotjar,https://www.hotjar.com/legal/compliance/opt-out,0
195,c0133a22-7958-4591-a519-1103338ac773,Hotjar,Analytics,_hjDonePolls,Advertiser's website domain (1st party),Hotjar cookie. This cookie is set once a visitor completes a poll using the Feedback Poll widget. It is used to ensure that the same poll does not re-appear if it has already been filled in.,365 days,Hotjar,https://www.hotjar.com/legal/compliance/opt-out,0
196,a2f3198e-04b5-4df7-8cff-e563ee09682a,Hotjar,Analytics,_hjMinimizedPolls,Advertiser's website domain (1st party),Hotjar cookie. This cookie is set once a visitor minimizes a Feedback Poll widget. It is used to ensure that the widget stays minimizes when the visitor navigates through your site.,365 days,Hotjar,https://www.hotjar.com/legal/compliance/opt-out,0
197,88f44d0f-5e6c-459e-b63b-e459a564c030,Hotjar,Analytics,_hjDoneTestersWidgets,Advertiser's website domain (1st party),Hotjar cookie. This cookie is set once a visitor submits their information in the Recruit User Testers widget. It is used to ensure that the same form does not re-appear if it has already been filled in.,365 days,Hotjar,https://www.hotjar.com/legal/compliance/opt-out,0
198,d303f84d-98b9-46b5-82f2-9492aeaeda44,Hotjar,Analytics,_hjMinimizedTestersWidgets,Advertiser's website domain (1st party),Hotjar cookie. This cookie is set once a visitor minimizes a Recruit User Testers widget. It is used to ensure that the widget stays minimizes when the visitor navigates through your site.,365 days,Hotjar,https://www.hotjar.com/legal/compliance/opt-out,0
199,34479527-3991-4b50-8bda-e7b009e1b158,Hotjar,Analytics,_hjShownFeedbackMessage,Advertiser's website domain (1st party),This cookie is set when a visitor minimizes or completes Incoming Feedback. This is done so that the Incoming Feedback will load as minimized immediately if they navigate to another page where it is set to show.,365 days,Hotjar,https://www.hotjar.com/legal/compliance/opt-out,0
200,9aa4f191-9480-41a9-9a04-a42167692f42,Hotjar,Functional,_hjTLDTest,Advertiser's website domain (1st party),"When the Hotjar script executes we try to determine the most generic cookie path we should use, instead of the page hostname. This is done so that cookies can be shared across subdomains (where applicable). To determine this, we try to store the _hjTLDTest cookie for different URL substring alternatives until it fails. After this check, the cookie is removed.",session,Hotjar,https://www.hotjar.com/legal/compliance/opt-out,0
201,5a58ce72-7931-4e38-ac0d-417c55a417dc,Hotjar,Functional,_hjUserAttributesHash,Advertiser's website domain (1st party),User Attributes sent through the Hotjar Identify API are cached for the duration of the session in order to know when an attribute has changed and needs to be updated.,session,Hotjar,https://www.hotjar.com/legal/compliance/opt-out,0
202,71403a88-bf55-46d9-920c-9afe2697567f,Hotjar,Analytics,_hjCachedUserAttributes,Advertiser's website domain (1st party),"This cookie stores User Attributes which are sent through the Hotjar Identify API, whenever the user is not in the sample. These attributes will only be saved if the user interacts with a Hotjar Feedback tool.",session,Hotjar,https://www.hotjar.com/legal/compliance/opt-out,0
203,f8d29695-1bd7-44b8-91fe-7a1aa2b18c88,Hotjar,Functional,_hjLocalStorageTest,Advertiser's website domain (1st party),"This cookie is used to check if the Hotjar Tracking Script can use local storage. If it can, a value of 1 is set in this cookie. The data stored in_hjLocalStorageTest has no expiration time, but it is deleted immediately after creating it so the expected storage time is under 100ms.",N/A,Hotjar,https://www.hotjar.com/legal/compliance/opt-out,0
204,7ceaaae0-5c92-4d1d-bb53-0d17d2149136,Hotjar,Functional,_hjptid,Advertiser's website domain (1st party),"This cookie is set for logged in users of Hotjar, who have Admin Team Member permissions. It is used during pricing experiments to show the Admin consistent pricing across the site.",session,Hotjar,https://www.hotjar.com/legal/compliance/opt-out,0
205,ed193ad7-4c44-4745-9707-cbb809846a76,Hotjar,Functional,_hjAbsoluteSessionInProgress,Advertiser's website domain (1st party),The cookie is set so Hotjar can track the beginning of the user's journey for a total session count. It does not contain any identifiable information.,30 minutes,Hotjar,https://www.hotjar.com/legal/compliance/opt-out,0
206,883ed7d5-7aca-4881-8ba5-2d07914a4602,Hotjar,Functional,_hjFirstSeen,Advertiser's website domain (1st party),The cookie is set so Hotjar can track the beginning of the user's journey for a total session count. It does not contain any identifiable information.,30 minutes,Hotjar,https://www.hotjar.com/legal/compliance/opt-out,0
207,76fd02da-511e-442d-be68-2287d801687b,Hotjar,Functional,_hjIncludedInPageviewSample,Advertiser's website domain (1st party),This cookie is set to let Hotjar know whether that visitor is included in the data sampling defined by your site's pageview limit.,30 minutes,Hotjar,https://www.hotjar.com/legal/compliance/opt-out,0
208,9f4670f2-4605-4369-9aa1-db1f378f3e1b,Hotjar,Functional,_hjIncludedInSessionSample,Advertiser's website domain (1st party),This cookie is set to let Hotjar know whether that visitor is included in the data sampling defined by your site's daily session limit,30 minutes,Hotjar,https://www.hotjar.com/legal/compliance/opt-out,0
209,283823c6-684c-466e-8ca4-23b18231e5a3,Hotjar,Functional,_hjSession_,Advertiser's website domain (1st party),A cookie that holds the current session data. This ensues that subsequent requests within the session window will be attributed to the same Hotjar session.,30 minutes,Hotjar,https://www.hotjar.com/legal/compliance/opt-out,1
210,d5da1a8e-0ccd-4b3a-a19d-ec38807a5444,Hotjar,Functional,_hjSessionUser_,Advertiser's website domain (1st party),"Hotjar cookie that is set when a user first lands on a page with the Hotjar script. It is used to persist the Hotjar User ID, unique to that site on the browser. This ensures that behavior in subsequent visits to the same site will be attributed to the same user ID.",365 days,Hotjar,https://www.hotjar.com/legal/compliance/opt-out,1
211,cc676be4-b2f6-430b-b1f1-cb0ca5cd7dec,Salesforce,Marketing,_kuid_,krxd.net (3rd party),Registers a unique ID that identifies a returning user's device. The ID is used for targeted ads.,6 months,Salesforce,https://www.salesforce.com/products/marketing-cloud/sfmc/salesforce-dmp-privacy,0
212,6aa88c2d-b6d5-4830-b6fc-56bfa5847332,Twitter,Marketing,_twitter_sess,twitter.com (3rd party),This cookie is set due to Twitter integration and sharing capabilities for the social media.,Session,Twitter,https://twitter.com/en/privacy,0
213,f0c95579-9131-4caf-8240-51eb01be6eb9,Google,Marketing,_gcl_au,Advertiser's website domain (1st party),Used by Google AdSense for experimenting with advertisement efficiency across websites using their services.,3 months,Google,https://privacy.google.com/take-control.html,0
214,886a9c0e-69e8-4a46-8098-92fee9adf89d,Active Campaign,Marketing,ac_enable_tracking,Advertiser's website domain (1st party),This cookie is associated with Active Campaign and is set to confirm that tracking has been enabled for the website. Tracking is used to create reports of our web traffic and improve the user experience of the website.,29 days,Active Campaign,https://www.activecampaign.com/gdpr-updates/,0
215,00f5c304-26d5-40b9-98ae-6a2815d8e56a,Microsoft,Functional,ASP.NET_SessionId,Advertiser's website domain (1st party),"General purpose platform session cookie, used by sites written with Miscrosoft .NET based technologies. Usually used to maintain an anonymised user session by the server.",Session,Microsoft,https://account.microsoft.com/privacy,0
216,7db60a47-ab52-4b22-bca6-2b07ed8f1b64,Microsoft,Functional,ASP.NET_SessionId_Fallback,Advertiser's website domain (1st party),"Fallback session cookie to support older browsers that haven't implemented the Secure flag, in modern evergreen browsers this cookie is never set as it haven't got the Secure flag.",Session,Microsoft,https://account.microsoft.com/privacy,0
